sample_id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,true_cluster,lac_cluster,lac_distance,tsne_1,tsne_2
S0001,-3.420128,-2.612991,-1.710040,-0.610260,1.512555,-3.109177,0.955732,0.523018,0,0,0.36566973,0.25098901,1.027667
S0002,2.574231,2.832793,1.953517,0.659757,2.342563,-2.250319,-0.679081,2.058204,1,2,0.061621025,7.1300879,-0.47594527
S0003,1.470197,1.125153,3.625863,-3.260661,-2.739474,2.236493,1.739764,3.296424,2,1,0.17734911,-6.5225432,1.9748835
S0004,3.240072,1.627707,1.669389,0.817957,1.889263,-2.759339,0.580178,0.115427,1,2,0.071335781,7.6846293,-0.52047386
S0005,-1.827122,3.687760,3.892584,-2.431976,-3.006468,2.970261,1.407178,0.973600,2,1,0.27475861,-7.2925795,1.0888445
S0006,-1.284975,-2.370294,3.417904,-2.825325,-1.189569,2.731104,0.852947,-0.367241,2,1,0.17184129,-5.1163309,0.67652673
S0007,3.111540,3.216607,0.164736,1.045399,2.468769,-2.593724,-1.714861,0.946663,1,2,0.052858287,6.6824562,-0.34188129
S0008,-3.460574,-2.401398,0.395994,2.446538,1.503200,0.642368,3.219266,-2.615279,0,0,0.30567825,-1.1285703,1.7776676
S0009,3.538120,2.077169,0.599527,-0.046553,2.672650,-2.958353,-3.497048,-4.560564,1,2,0.22300833,7.6782917,1.4722895
S0010,-0.729485,-3.486308,2.844758,-3.143111,-2.604458,1.887637,1.275035,1.153916,2,1,0.17458777,-4.9518779,1.275379
S0011,-4.176641,-1.734549,2.542422,-3.100552,-1.887869,2.365217,-2.267790,-0.125300,2,1,0.35188463,-4.6049568,-0.54046315
S0012,-2.689930,1.258554,4.026342,-2.914020,-2.685529,2.421898,1.353565,-3.807478,2,1,0.24715199,-6.1120301,-1.4734362
S0013,2.857818,2.592663,1.114508,-0.610665,3.085118,-3.128066,0.013946,5.714882,1,2,0.24580169,7.2245368,-2.5297567
S0014,-2.807060,-1.655334,0.329822,-2.204044,-2.462687,2.971670,3.792065,-0.394942,0,1,0.63382547,-3.7734289,1.8196118
S0015,3.871967,2.719497,1.490379,-0.533828,2.536600,-2.883583,2.177085,-2.592268,1,2,0.15977689,8.5553542,-0.24078775
S0016,-0.127225,0.601731,3.025571,-3.382768,-2.004898,2.906677,-0.351226,-1.436416,2,1,0.04151316,-6.3511467,-0.29270258
S0017,-2.959280,-2.374474,4.531453,3.378320,-1.535838,-0.517290,-3.219572,-1.299555,0,0,0.54316897,0.92173786,-1.959042
S0018,-0.146858,-3.070174,2.192171,-2.758967,-2.787495,1.089391,1.726657,0.599213,2,1,0.23360771,-4.8175906,1.3314416
S0019,-0.456080,-0.286533,3.101694,-3.504268,-2.111233,2.864466,0.847083,1.224374,2,1,0.047693351,-6.016377,1.0104687
S0020,-0.173122,2.030434,1.859631,-3.748319,-3.007588,3.303648,0.621691,1.688098,2,1,0.17431196,-6.9278222,1.0987384
