seed,standardized,adaptive_iter,adaptive_status,adaptive_cycle_period,adaptive_h_unique,frozen_iter,frozen_status,frozen_cycle_period
1729,0,3,converged,0,2,3,converged,0
1730,0,2,converged,0,2,2,converged,0
1731,0,2,converged,0,2,2,converged,0
1732,0,2,converged,0,2,2,converged,0
1733,0,3,converged,0,2,4,converged,0
1734,0,3,converged,0,2,2,converged,0
1735,0,2,converged,0,2,2,converged,0
1736,0,3,converged,0,2,2,converged,0
1737,0,2,converged,0,2,2,converged,0
1738,0,2,converged,0,2,3,converged,0
1739,0,3,converged,0,2,2,converged,0
1740,0,2,converged,0,2,2,converged,0
1741,0,2,converged,0,2,2,converged,0
1742,0,2,converged,0,2,2,converged,0
1743,0,3,converged,0,2,2,converged,0
1744,0,3,converged,0,2,3,converged,0
1745,0,3,converged,0,2,2,converged,0
1746,0,2,converged,0,2,2,converged,0
1747,0,3,converged,0,2,3,converged,0
1748,0,2,converged,0,2,2,converged,0
1749,0,2,converged,0,2,2,converged,0
1750,0,2,converged,0,2,3,converged,0
1751,0,2,converged,0,2,2,converged,0
1752,0,3,converged,0,2,3,converged,0
1753,0,3,converged,0,2,2,converged,0
1754,0,3,converged,0,2,2,converged,0
1755,0,4,converged,0,2,3,converged,0
1756,0,3,converged,0,2,3,converged,0
1757,0,2,converged,0,2,2,converged,0
1758,0,2,converged,0,2,2,converged,0
1729,1,2,converged,0,2,2,converged,0
1730,1,2,converged,0,2,2,converged,0
1731,1,2,converged,0,2,3,converged,0
1732,1,2,converged,0,2,2,converged,0
1733,1,2,converged,0,2,3,converged,0
1734,1,4,converged,0,2,2,converged,0
1735,1,3,converged,0,2,3,converged,0
1736,1,2,converged,0,2,3,converged,0
1737,1,2,converged,0,2,2,converged,0
1738,1,3,converged,0,2,3,converged,0
1739,1,3,converged,0,2,2,converged,0
1740,1,2,converged,0,2,3,converged,0
1741,1,3,converged,0,2,3,converged,0
1742,1,3,converged,0,2,4,converged,0
1743,1,3,converged,0,2,2,converged,0
1744,1,3,converged,0,2,3,converged,0
1745,1,2,converged,0,2,2,converged,0
1746,1,2,converged,0,2,2,converged,0
1747,1,3,converged,0,2,3,converged,0
1748,1,3,converged,0,2,3,converged,0
1749,1,3,converged,0,2,3,converged,0
1750,1,2,converged,0,2,3,converged,0
1751,1,3,converged,0,2,3,converged,0
1752,1,2,converged,0,2,3,converged,0
1753,1,3,converged,0,2,2,converged,0
1754,1,3,converged,0,2,2,converged,0
1755,1,2,converged,0,2,2,converged,0
1756,1,4,converged,0,2,2,converged,0
1757,1,2,converged,0,2,2,converged,0
1758,1,2,converged,0,2,2,converged,0
