seed,standardized,kmeans,fixed_h1,fixed_h1_iter,fixed_h1_status,meanV,meanV_h,adaptive_response,adaptive_h_final,adaptive_iter,adaptive_status,adaptive_cycle_period,adaptive_h_unique,frozen_response,frozen_h,frozen_iter,frozen_status,frozen_cycle_period,clusterwise_response,clusterwise_h,clusterwise_iter,clusterwise_status,clusterwise_cycle_period,oracle_grid,oracle_h,plateau_h_low,plateau_h_high,plateau_factor,adaptive_in_plateau,frozen_in_plateau,frozen_plateau_log_position
1729,0,0.857346095053,0.975114444722,2,converged,0.962756313705,1.87692198479,0.970936556762,0.792275943826,3,converged,0,2,0.970936556762,0.728382686731,3,converged,0,0.922034674492,0.937368121758;0.174410680345;0.669642114549,10,cycle,3,0.975114444722,0.977616690317,0.698395104896,1.48851386171,2.13133490093,1,1,0.0555555555556
1730,0,0.878905159902,0.962773069725,3,converged,0.950741929757,1.87566701025,0.970996724845,0.792275943826,2,converged,0,2,0.970996724845,0.759657870752,2,converged,0,0.921953569018,0.642072887444;0.977616690317;0.047376374261,4,converged,0,0.979274489017,0.590292786848,0.478382559817,0.669642114549,1.39980461413,0,0,1.375
1731,0,0.806476147506,0.979275093698,3,converged,0.954711481346,1.87454636424,0.987526175066,0.792275943826,2,converged,0,2,0.987526175066,0.698395104896,2,converged,0,0.811291537355,0.977616690317;0.669642114549;0.0560525701971,22,cycle,9,0.987526175066,0.669642114549,0.669642114549,0.861773876013,1.28691708196,1,1,0.166666666667
1732,0,0.838715972877,0.975070414153,3,converged,0.958614015319,1.87577333431,0.983365331857,0.792275943826,2,converged,0,2,0.983365331857,0.698395104896,2,converged,0,0.942361727867,0.119466799148;0.642072887444;0.977616690317,20,cycle,5,0.983426313065,0.590292786848,0.478382559817,0.937368121758,1.95945295773,1,1,0.5625
1733,0,0.803370870344,0.942770128989,3,converged,0.915049178459,1.86913954326,0.962824209024,0.792275943826,3,converged,0,2,0.966888604108,0.728382686731,4,converged,0,0.910702617421,0.669642114549;0.977616690317;0.0435556967756,9,converged,0,0.97922250426,0.590292786848,0.590292786848,0.669642114549,1.13442367833,0,0,1.66666666667
1734,0,0.852334857279,0.979275093698,2,converged,0.966899529668,1.87690613789,0.983400634949,0.792275943826,3,converged,0,2,0.991678240741,0.728382686731,2,converged,0,0.893650879042,0.015879714993;0.937368121758;0.669642114549,8,cycle,4,0.995830427767,0.498923276755,0.478382559817,0.728382686731,1.52259456743,0,1,1
1735,0,0.82490250762,0.966916744191,3,converged,0.950717977637,1.87555067681,0.991652199503,0.792275943826,2,converged,0,2,0.991652199503,0.728382686731,2,converged,0,0.95051526465,0.669642114549;0.206351099164;0.977616690317,11,cycle,3,0.991652199503,0.698395104896,0.642072887444,0.861773876013,1.34217453013,1,1,0.428571428571
1736,0,0.815260801024,0.97922250426,3,converged,0.975097181461,1.87501198325,0.983365331857,0.792275943826,3,converged,0,2,0.979248072661,0.698395104896,2,converged,0,0.803559947264,0.0187878210024;0.642072887444;0.977616690317,16,cycle,5,0.987526320644,0.642072887444,0.642072887444,0.669642114549,1.04293784653,0,0,2
1737,0,0.824075225263,0.975097181461,2,converged,0.926746084795,1.87572650975,0.987526175066,0.792275943826,2,converged,0,2,0.987526175066,0.728382686731,2,converged,0,0.799198453929,0.642072887444;0.0968177732526;0.977616690317,8,cycle,2,0.987543802513,0.458687506073,0.439803299494,0.861773876013,1.95945295773,1,1,0.75
1738,0,0.898859438942,0.966968388966,3,converged,0.954795870483,1.87728503167,0.975148101754,0.792275943826,2,converged,0,2,0.979256595759,0.759657870752,3,converged,0,0.930055892921,0.977616690317;0.174410680345;0.669642114549,10,cycle,2,0.987526175066,0.590292786848,0.542688503157,0.728382686731,1.34217453013,0,0,1.14285714286
1739,0,0.868658717668,0.970919996715,3,converged,0.95048738093,1.87628289688,0.97917064226,0.792275943826,3,converged,0,2,0.98332224634,0.728382686731,2,converged,0,0.922418693883,0.642072887444;0.181899499372;0.937368121758,18,cycle,6,0.98332224634,0.698395104896,0.565990378822,0.826294566715,1.45990920983,1,1,0.666666666667
