dataset,seed,selector,h,selection_score,ari
Synthetic,1729,kmeans,nan,nan,0.857346095053
Synthetic,1729,response,0.721236407513,0.797352840252,0.970936556762
Synthetic,1729,silhouette,6,0.16044340152,0.918202955404
Synthetic,1729,stability,0.442336688692,1,0.96700493761
Synthetic,1729,oracle,0.999142487924,0.975114444722,0.975114444722
Synthetic,1730,kmeans,nan,nan,0.878905159902
Synthetic,1730,response,0.721236407513,0.772897547044,0.970996724845
Synthetic,1730,silhouette,6,0.162499573609,0.930475212056
Synthetic,1730,stability,0.721236407513,1,0.970996724845
Synthetic,1730,oracle,0.61277741256,0.979274489017,0.979274489017
Synthetic,1731,kmeans,nan,nan,0.806476147506
Synthetic,1731,response,0.721236407513,0.776204803575,0.987526175066
Synthetic,1731,silhouette,6,0.161414769928,0.914406754658
Synthetic,1731,stability,0.61277741256,1,0.979248557032
Synthetic,1731,oracle,0.721236407513,0.987526175066,0.987526175066
Synthetic,1732,kmeans,nan,nan,0.838715972877
Synthetic,1732,response,0.721236407513,0.797978828028,0.983365331857
Synthetic,1732,silhouette,6,0.158737685584,0.9382626569
Synthetic,1732,stability,2.25684582965,1,0.95452275638
Synthetic,1732,oracle,0.61277741256,0.983426313065,0.983426313065
Synthetic,1733,kmeans,nan,nan,0.803370870344
Synthetic,1733,response,0.721236407513,0.792209413667,0.966888604108
Synthetic,1733,silhouette,6,0.162256665008,0.878609815281
Synthetic,1733,stability,0.0625826928906,1,0.958810062529
Synthetic,1733,oracle,0.61277741256,0.97922250426,0.97922250426
Synthetic,1734,kmeans,nan,nan,0.852334857279
Synthetic,1734,response,0.721236407513,0.777360911002,0.991678240741
Synthetic,1734,silhouette,6,0.162230222889,0.926281246319
Synthetic,1734,stability,0.61277741256,1,0.991678240741
Synthetic,1734,oracle,0.520628400663,0.995830427767,0.995830427767
Synthetic,1735,kmeans,nan,nan,0.82490250762
Synthetic,1735,response,0.721236407513,0.781177143973,0.991652199503
Synthetic,1735,silhouette,6,0.164119433098,0.91032758433
Synthetic,1735,stability,0.520628400663,1,0.966760269209
Synthetic,1735,oracle,0.721236407513,0.991652199503,0.991652199503
Synthetic,1736,kmeans,nan,nan,0.815260801024
Synthetic,1736,response,0.721236407513,0.789108661055,0.983365331857
Synthetic,1736,silhouette,6,0.166481686303,0.890499038219
Synthetic,1736,stability,0.999142487924,1,0.97922250426
Synthetic,1736,oracle,0.721236407513,0.983365331857,0.983365331857
Synthetic,1737,kmeans,nan,nan,0.824075225263
Synthetic,1737,response,0.721236407513,0.769953947357,0.987526175066
Synthetic,1737,silhouette,5.09772445908,0.158881031495,0.91812880865
Synthetic,1737,stability,0.999142487924,1,0.975097181461
Synthetic,1737,oracle,0.442336688692,0.987543802513,0.987543802513
Synthetic,1738,kmeans,nan,nan,0.898859438942
Synthetic,1738,response,0.721236407513,0.775963290304,0.983382644274
Synthetic,1738,silhouette,6,0.159136612831,0.938591616639
Synthetic,1738,stability,0.0625826928906,1,0.96263729416
Synthetic,1738,oracle,0.61277741256,0.987526175066,0.987526175066
Iris,1729,kmeans,nan,nan,0.620135180887
Iris,1729,response,0.0625826928906,0.475481921978,0.885697031028
Iris,1729,silhouette,0.848892183133,0.459948239205,0.620135180887
Iris,1729,stability,0.0235399149097,1,0.885665306122
Iris,1729,oracle,0.053171554044,0.885697031028,0.885697031028
Iris,1730,kmeans,nan,nan,0.620135180887
Iris,1730,response,0.0625826928906,0.475481921978,0.885697031028
Iris,1730,silhouette,0.848892183133,0.459948239205,0.620135180887
Iris,1730,stability,0.0451756552629,1,0.885665306122
Iris,1730,oracle,0.053171554044,0.885697031028,0.885697031028
Iris,1731,kmeans,nan,nan,0.620135180887
Iris,1731,response,0.0625826928906,0.475481921978,0.885697031028
Iris,1731,silhouette,0.848892183133,0.459948239205,0.620135180887
Iris,1731,stability,0.0866969925871,1,0.885697031028
Iris,1731,oracle,0.053171554044,0.885697031028,0.885697031028
Iris,1732,kmeans,nan,nan,0.592332622185
Iris,1732,response,0.053171554044,0.501186937681,0.885697031028
Iris,1732,silhouette,6,0.463042036293,0.592332622185
Iris,1732,stability,0.0451756552629,1,0.885697031028
Iris,1732,oracle,0.0451756552629,0.885697031028,0.885697031028
Iris,1733,kmeans,nan,nan,0.620135180887
Iris,1733,response,0.0625826928906,0.475481921978,0.885697031028
Iris,1733,silhouette,0.848892183133,0.459948239205,0.620135180887
Iris,1733,stability,0.0866969925871,1,0.885697031028
Iris,1733,oracle,0.053171554044,0.885697031028,0.885697031028
Wine,1729,kmeans,nan,nan,0.897494981509
Wine,1729,response,0.120102989764,0.704508835876,0.863611378175
Wine,1729,silhouette,1.91746303103,0.28485891919,0.897494981509
Wine,1729,stability,0.0866969925871,1,0.897542251978
Wine,1729,oracle,0.0866969925871,0.897542251978,0.897542251978
Wine,1730,kmeans,nan,nan,0.897494981509
Wine,1730,response,0.120102989764,0.704508835876,0.863611378175
Wine,1730,silhouette,1.91746303103,0.28485891919,0.897494981509
Wine,1730,stability,0.0736595632734,1,0.881949628471
Wine,1730,oracle,0.0866969925871,0.897542251978,0.897542251978
Wine,1731,kmeans,nan,nan,0.897494981509
Wine,1731,response,0.120102989764,0.704508835876,0.863611378175
Wine,1731,silhouette,1.91746303103,0.28485891919,0.897494981509
Wine,1731,stability,0.0866969925871,1,0.897542251978
Wine,1731,oracle,0.0866969925871,0.897542251978,0.897542251978
Wine,1732,kmeans,nan,nan,0.897494981509
Wine,1732,response,0.120102989764,0.704508835876,0.863611378175
Wine,1732,silhouette,1.91746303103,0.28485891919,0.897494981509
Wine,1732,stability,0.0866969925871,1,0.897542251978
Wine,1732,oracle,0.0866969925871,0.897542251978,0.897542251978
Wine,1733,kmeans,nan,nan,0.897494981509
Wine,1733,response,0.120102989764,0.704508835876,0.863611378175
Wine,1733,silhouette,1.91746303103,0.28485891919,0.897494981509
Wine,1733,stability,0.0866969925871,1,0.897542251978
Wine,1733,oracle,0.0866969925871,0.897542251978,0.897542251978
WDBC,1729,kmeans,nan,nan,0.670720647688
