metric,value
deterministic_annealing_Tc_theory,12.5006005449
deterministic_annealing_first_observed_split,12.3601010533
lac_adaptive_minus_frozen_ci_high,0.000551669665089
lac_adaptive_minus_frozen_ci_low,-0.00207011142956
lac_adaptive_minus_frozen_mean,-0.000689042338311
lac_adaptive_minus_h1_ci_high,0.0127128816493
lac_adaptive_minus_h1_ci_low,0.0078325371833
lac_adaptive_minus_h1_mean,0.0102675502626
lac_adaptive_minus_oracle_ci_high,-0.00372980827221
lac_adaptive_minus_oracle_ci_low,-0.00772627481109
lac_adaptive_minus_oracle_mean,-0.00566249976627
lac_frozen_minus_oracle_ci_high,-0.0031917091553
lac_frozen_minus_oracle_ci_low,-0.00676913967874
lac_frozen_minus_oracle_mean,-0.00497345742796
lac_raw_adaptive_cycle_fraction,0
lac_raw_adaptive_in_plateau_fraction,0.5
lac_raw_adaptive_iter_max,4
lac_raw_adaptive_iter_mean,2.5
lac_raw_adaptive_maxiter_fraction,0
lac_raw_adaptive_response_mean,0.982144123913
lac_raw_adaptive_response_sd,0.00760685072358
lac_raw_clusterwise_response_mean,0.893104793711
lac_raw_clusterwise_response_sd,0.0668600234298
lac_raw_fixed_h1_mean,0.97187657365
lac_raw_fixed_h1_sd,0.0104747328526
lac_raw_frozen_cycle_fraction,0
lac_raw_frozen_in_plateau_fraction,0.633333333333
lac_raw_frozen_iter_mean,2.33333333333
lac_raw_frozen_response_mean,0.982833166251
lac_raw_frozen_response_sd,0.00757741040244
lac_raw_kmeans_mean,0.842342603647
lac_raw_kmeans_sd,0.024463575218
lac_raw_meanV_mean,0.956688240482
lac_raw_meanV_sd,0.015134214767
lac_raw_oracle_grid_mean,0.987806623679
lac_raw_oracle_grid_sd,0.00615135676488
lac_raw_plateau_factor_median,1.39980461413
lac_std_adaptive_cycle_fraction,0
lac_std_adaptive_in_plateau_fraction,0.6
lac_std_adaptive_iter_max,4
lac_std_adaptive_iter_mean,2.56666666667
lac_std_adaptive_maxiter_fraction,0
lac_std_adaptive_response_mean,0.97719591855
lac_std_adaptive_response_sd,0.00877705584902
lac_std_clusterwise_response_mean,0.928927046233
lac_std_clusterwise_response_sd,0.0477548129051
lac_std_fixed_h1_mean,0.945848618767
lac_std_fixed_h1_sd,0.0164403219504
lac_std_frozen_cycle_fraction,0
lac_std_frozen_in_plateau_fraction,0.533333333333
lac_std_frozen_iter_mean,2.53333333333
lac_std_frozen_response_mean,0.976653289429
lac_std_frozen_response_sd,0.00894085604672
lac_std_kmeans_mean,0.861954564478
lac_std_kmeans_sd,0.0200848470463
lac_std_meanV_mean,0.953972920994
lac_std_meanV_sd,0.0158135237986
lac_std_oracle_grid_mean,0.981882189733
lac_std_oracle_grid_sd,0.00762542809107
lac_std_plateau_factor_median,1.28691708196
real_breast_cancer_wisconsin_diagnostic_adaptive_response_mean,0.711667437377
real_breast_cancer_wisconsin_diagnostic_adaptive_response_sd,0
real_breast_cancer_wisconsin_diagnostic_clusterwise_response_mean,0.496394330008
real_breast_cancer_wisconsin_diagnostic_clusterwise_response_sd,5.64601285408e-17
real_breast_cancer_wisconsin_diagnostic_fixed_h1_mean,0.685719072071
real_breast_cancer_wisconsin_diagnostic_fixed_h1_sd,0.00294132573474
real_breast_cancer_wisconsin_diagnostic_frozen_response_mean,0.705627273308
real_breast_cancer_wisconsin_diagnostic_frozen_response_sd,2.25840514163e-16
real_breast_cancer_wisconsin_diagnostic_kmeans_mean,0.663312362259
real_breast_cancer_wisconsin_diagnostic_kmeans_sd,0.00861652434848
real_breast_cancer_wisconsin_diagnostic_meanV_mean,0.68481368709
real_breast_cancer_wisconsin_diagnostic_meanV_sd,0.00313806919297
real_iris_adaptive_response_mean,0.885697031028
real_iris_adaptive_response_sd,0
real_iris_clusterwise_response_mean,0.885697031028
real_iris_clusterwise_response_sd,0
real_iris_fixed_h1_mean,0.620135180887
real_iris_fixed_h1_sd,2.25840514163e-16
real_iris_frozen_response_mean,0.885697031028
real_iris_frozen_response_sd,0
real_iris_kmeans_mean,0.615757351036
real_iris_kmeans_sd,0.0096837372381
real_iris_meanV_mean,0.716342112684
real_iris_meanV_sd,1.12920257082e-16
real_wine_adaptive_response_mean,0.847082570586
real_wine_adaptive_response_sd,2.25840514163e-16
real_wine_clusterwise_response_mean,0.685509884422
real_wine_clusterwise_response_sd,3.38760771245e-16
real_wine_fixed_h1_mean,0.864947827211
real_wine_fixed_h1_sd,3.38760771245e-16
real_wine_frozen_response_mean,0.863611378175
real_wine_frozen_response_sd,0
real_wine_kmeans_mean,0.897494981509
real_wine_kmeans_sd,1.12920257082e-16
real_wine_meanV_mean,0.815807596937
real_wine_meanV_sd,2.25840514163e-16
representative_hstar_cluster_1,0.663922700788
representative_hstar_cluster_2,0.974161482842
representative_hstar_cluster_3,1.32552416166
synthetic_irrelevant_to_relevant_variance_ratio_max,64.8919753086
synthetic_irrelevant_to_relevant_variance_ratio_min,8.54437869822
wine_control_slope,-2
wine_noisy_ols,-1.71601694483
wine_noisy_tls,-2.01610449645
wine_ols10,-1.12275255654
wine_ols10_ci_high,-0.950622373205
wine_ols10_ci_low,-1.27163539819
wine_ols20,-1.32541754923
wine_ols30,-1.45627732984
wine_response_median,1.44694059601
wine_response_q90,2.42386197484
wine_response_q95,2.60486787236
wine_spearman_p,3.86662269808e-22
wine_spearman_rho,-0.642887920258
wine_tls10,-1.85916328187
wine_tls10_ci_high,-1.61082897121
wine_tls10_ci_low,-2.2270912201
wine_tls20,-1.90595851099
wine_tls30,-1.9690374106
