seed,standardized,kmeans,fixed_h1,fixed_h1_iter,fixed_h1_status,meanV,meanV_h,adaptive_response,adaptive_h_final,adaptive_iter,adaptive_status,adaptive_cycle_period,adaptive_h_unique,frozen_response,frozen_h,frozen_iter,frozen_status,frozen_cycle_period,clusterwise_response,clusterwise_h,clusterwise_iter,clusterwise_status,clusterwise_cycle_period,oracle_grid,oracle_h,plateau_h_low,plateau_h_high,plateau_factor,adaptive_in_plateau,frozen_in_plateau,frozen_plateau_log_position
1729,0,0.8573460950534583,0.9751144447223871,2,converged,0.9627563137052375,1.8769219847859537,0.970936556762434,0.792275943825575,3,converged,0,2,0.970936556762434,0.7283826867309402,3,converged,0,0.9220346744919238,0.937368121758;0.174410680345;0.669642114549,10,cycle,3,0.9751144447223871,0.9776166903168593,0.6983951048963124,1.4885138617073084,2.131334900934481,1,1,0.055555555555555754
1730,0,0.8789051599017446,0.9627730697252741,3,converged,0.950741929756685,1.8756670102498265,0.9709967248454177,0.792275943825575,2,converged,0,2,0.9709967248454177,0.7596578707523303,2,converged,0,0.9219535690184603,0.642072887444;0.977616690317;0.047376374261,4,converged,0,0.9792744890171399,0.5902927868477004,0.47838255981657885,0.669642114548647,1.3998046141259848,0,0,1.3749999999999993
1731,0,0.8064761475057486,0.9792750936984972,3,converged,0.9547114813455423,1.8745463642433533,0.9875261750660476,0.792275943825575,2,converged,0,2,0.9875261750660476,0.6983951048963124,2,converged,0,0.811291537355168,0.977616690317;0.669642114549;0.0560525701971,22,cycle,9,0.9875261750660476,0.669642114548647,0.669642114548647,0.861773876012754,1.2869170819604259,1,1,0.1666666666666649
1732,0,0.8387159728766416,0.975070414152844,3,converged,0.9586140153194159,1.8757733343085872,0.9833653318570948,0.792275943825575,2,converged,0,2,0.9833653318570948,0.6983951048963124,2,converged,0,0.94236172786713,0.119466799148;0.642072887444;0.977616690317,20,cycle,5,0.9834263130645897,0.5902927868477004,0.47838255981657885,0.9373681217582767,1.959452957728396,1,1,0.5624999999999998
1733,0,0.8033708703441432,0.9427701289893924,3,converged,0.9150491784585857,1.8691395432580125,0.9628242090243652,0.792275943825575,3,converged,0,2,0.9668886041078587,0.7283826867309402,4,converged,0,0.9107026174211422,0.669642114549;0.977616690317;0.0435556967756,9,converged,0,0.9792225042603023,0.5902927868477004,0.5902927868477004,0.669642114548647,1.1344236783320534,0,0,1.666666666666664
1734,0,0.8523348572794782,0.9792750936984972,2,converged,0.9668995296678949,1.8769061378888405,0.9834006349494748,0.792275943825575,3,converged,0,2,0.9916782407407407,0.7283826867309402,2,converged,0,0.8936508790417116,0.015879714993;0.937368121758;0.669642114549,8,cycle,4,0.9958304277669653,0.4989232767548629,0.47838255981657885,0.7283826867309402,1.5225945674320072,0,1,1.0
1735,0,0.8249025076204883,0.9669167441910745,3,converged,0.9507179776367635,1.875550676813123,0.9916521995033772,0.792275943825575,2,converged,0,2,0.9916521995033772,0.7283826867309402,2,converged,0,0.9505152646501125,0.669642114549;0.206351099164;0.977616690317,11,cycle,3,0.9916521995033772,0.6983951048963124,0.6420728874435022,0.861773876012754,1.3421745301285346,1,1,0.42857142857142816
1736,0,0.8152608010235692,0.9792225042603023,3,converged,0.9750971814607139,1.875011983251716,0.9833653318570948,0.792275943825575,3,converged,0,2,0.9792480726607048,0.6983951048963124,2,converged,0,0.8035599472638321,0.0187878210024;0.642072887444;0.977616690317,16,cycle,5,0.9875263206441901,0.6420728874435022,0.6420728874435022,0.669642114548647,1.0429378465347061,0,0,1.999999999999983
1737,0,0.8240752252632272,0.9750971814607139,2,converged,0.9267460847949386,1.8757265097450966,0.9875261750660476,0.792275943825575,2,converged,0,2,0.9875261750660476,0.7283826867309402,2,converged,0,0.7991984539288627,0.642072887444;0.0968177732526;0.977616690317,8,cycle,2,0.9875438025130311,0.45868750607341185,0.43980329949426955,0.861773876012754,1.959452957728396,1,1,0.7499999999999999
1738,0,0.8988594389423016,0.966968388965961,3,converged,0.9547958704828867,1.8772850316672185,0.9751481017540585,0.792275943825575,2,converged,0,2,0.979256595759245,0.7596578707523303,3,converged,0,0.9300558929211059,0.977616690317;0.174410680345;0.669642114549,10,cycle,2,0.9875261750660476,0.5902927868477004,0.5426885031570269,0.7283826867309402,1.3421745301285344,0,0,1.1428571428571437
1739,0,0.8686587176680529,0.9709199967154877,3,converged,0.9504873809300537,1.8762828968758276,0.9791706422597665,0.792275943825575,3,converged,0,2,0.9833222463396819,0.7283826867309402,2,converged,0,0.9224186938826988,0.642072887444;0.181899499372;0.937368121758,18,cycle,6,0.9833222463396819,0.6983951048963124,0.5659903788217326,0.8262945667146969,1.459909209825899,1,1,0.6666666666666665
1740,0,0.8260351950240408,0.9792047313461062,2,converged,0.9668209052696648,1.8758479008276272,0.9875000974583775,0.792275943825575,2,converged,0,2,0.9875000974583775,0.7283826867309402,2,converged,0,0.8299637401422088,0.642072887444;0.0537448807553;0.977616690317,15,cycle,8,0.9875000974583775,0.5659903788217326,0.520345967844756,0.9776166903168593,1.878782100236297,1,1,0.5333333333333329
1741,0,0.8180109719637663,0.9834006349494748,2,converged,0.9669167441910745,1.8767104121602438,0.9916783378622624,0.792275943825575,2,converged,0,2,0.9916783378622624,0.7283826867309402,2,converged,0,0.9752462367751644,0.977616690317;1.31213222197;0.669642114549,3,converged,0,0.9916783378622624,0.6983951048963124,0.5902927868477004,0.9776166903168593,1.6561555758415376,1,1,0.41666666666666613
1742,0,0.8518132709276545,0.9628272457221358,3,converged,0.9426481187169538,1.8746721156571056,0.9792225042603023,0.792275943825575,2,converged,0,2,0.9792225042603023,0.7283826867309402,2,converged,0,0.9958304277669653,0.669642114549;1.31213222197;0.977616690317,7,converged,0,0.9958304277669653,0.6156386879399105,0.5426885031570269,0.669642114548647,1.2339345879875514,0,0,1.3999999999999977
1743,0,0.8415264051400109,0.9750449560460911,2,converged,0.9545794843862737,1.8789605935578255,0.9792047313461062,0.792275943825575,3,converged,0,2,0.9916695602776322,0.7283826867309402,2,converged,0,0.8107909051804114,0.0752323320669;0.937368121758;0.642072887444,6,converged,0,0.9916695602776322,0.6420728874435022,0.5902927868477004,0.7596578707523303,1.2869170819604259,0,1,0.8333333333333323
